form	lemma	POS	morph
illa	ille	PROdem	Case=Nom|Numb=Plur|Gend=Neut
,	,	PUNC	MORPH=empty
quę	que	PROrel	MORPH=empty
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
οὐσιώδη	[Greek]	FOR	MORPH=empty
disciplinæ	disciplina	NOMcom	Case=Dat|Numb=Sing
Ecclesiasticæ	ecclesiasticus	ADJqua	Case=Gen|Numb=Plur|Gend=Fem|Deg=Pos
,	,	PUNC	MORPH=empty
tollere	tollo	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
vel	uel2	CONcoo	MORPH=empty
immutare	immuto2	VER	Mood=Inf|Tense=Pres|Voice=Act
possit	possum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Etsi	etsi2	CONsub	MORPH=empty
enim	enim2	CONcoo	MORPH=empty
in	in	PRE	MORPH=empty
rebus	res	NOMcom	Case=Abl|Numb=Plur
politicis	politicus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
Rex	rex	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
summúsque	superus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Sup
{summúsque}	que	CON	MORPH=empty
magistratus	magistratus	NOMcom	Case=Nom|Numb=Plur
nouas	nouus	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
leges	lex	NOMcom	Case=Acc|Numb=Plur
ferre	fero	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
veteres	uetus	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem
abrogare	abrogo	VER	Mood=Inf|Tense=Pres|Voice=Act
iure	ius1	NOMcom	Case=Abl|Numb=Sing
potestatis	potestas	NOMcom	Case=Gen|Numb=Sing
sibi	sui1	PROref	Case=Dat|Numb=Sing
à	ab	PRE	MORPH=empty
Deo	deus	NOMcom	Case=Abl|Numb=Sing
concessæ	concedo1	VER	Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
in	in	PRE	MORPH=empty
disciplinæ	disciplina	NOMcom	Case=Gen|Numb=Sing|Gend=Fem
tamen	tamen	ADV	Deg=Pos
Ecclesiasticæ	ecclesiasticus	ADJqua	Case=Dat|Numb=Sing|Gend=Fem|Deg=Pos
fundamento	fundamentum	NOMcom	Case=Abl|Numb=Sing
vel	uel2	CONcoo	MORPH=empty
veteri	uetus	ADJqua	Case=Dat|Numb=Sing|Gend=Com|Deg=Pos
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
à	ab	PRE	MORPH=empty
Deo	deus	NOMcom	Case=Abl|Numb=Sing
iam	iam	ADV	Deg=Pos
posito	pono	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
tollendo	tollo	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Ger|Voice=Act
:	:	PUNC	MORPH=empty
vel	uel2	CONcoo	MORPH=empty
nouo	nouus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
reperiendo	reperio	VER	Case=Abl|Numb=Sing|Mood=Adj|Voice=Pass
constit	consto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uendóque	uendo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act
{uendóque}	que	CON	MORPH=empty
idem	idem	PROdem	Case=Acc|Numb=Sing|Gend=MascNeut
ius	ius1	NOMcom	Case=Acc|Numb=Sing
non	non	ADVneg	MORPH=empty
habet	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Cuius	qui1	PROrel	Case=Gen|Numb=Sing|Gend=Com
rei	res	NOMcom	Case=Gen|Numb=Sing
hæc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Fem
ratio	ratio	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
quidem	quidem	ADV	Deg=Pos
manifestissima	manifestus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Sup
,	,	PUNC	MORPH=empty
quòd	quod2	CONsub	MORPH=empty
cùm	cum2	PRE	MORPH=empty
disciplinę	disciplina	NOMcom	Case=Gen|Numb=Sing
Ecclesiasticæ	ecclesiasticus	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
scopus	scopus	NOMcom	Case=Nom|Numb=Sing|Gend=Masc
et	et2	CONcoo	MORPH=empty
finis	finis	NOMcom	Case=Nom|Numb=Sing
hic	hic1	PROdem	Case=Nom|Numb=Sing
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
primùm	primum	ADJadv.ord	Deg=Sup
vt	ut4	CONsub	MORPH=empty
Pastores	pastor	NOMcom	Case=Nom|Numb=Plur
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
Ecclesiæ	ecclesia	NOMcom	Case=Dat|Numb=Sing
Dei	deus	NOMcom	Case=Gen|Numb=Sing
prę	prae1	ADV	MORPH=empty
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
debent	debeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
legitimam	legitimus	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
vocationem	uocatio	NOMcom	Case=Acc|Numb=Sing
habeant	habeo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Postea	postea	ADV	Deg=Pos
vt	ut4	CONsub	MORPH=empty
hominum	homo	NOMcom	Case=Gen|Numb=Plur
conscientiæ	conscientia	NOMcom	Case=Nom|Numb=Plur
gubernentur	guberno	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
ad	ad2	PRE	MORPH=empty
pœnitentiam	paenitentia	NOMcom	Case=Acc|Numb=Sing|Gend=Fem
conuersionémque	conuersio	NOMcom	Case=Acc|Numb=Sing|Gend=Fem
{conuersionémque}	que	CON	MORPH=empty
ad	ad2	PRE	MORPH=empty
Deum	deus	NOMcom	Case=Acc|Numb=Sing
adducãtur	adduco	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
,	,	PUNC	MORPH=empty
ad	ad2	PRE	MORPH=empty
solum	solum1	NOMcom	Case=Acc|Numb=Sing
Deum	deus	NOMcom	Case=Acc|Numb=Sing
disciplinæ	disciplina	NOMcom	Case=Gen|Numb=Sing
Ecclesiasticæ	ecclesiasticus	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
definitio	definitio	NOMcom	Case=Nom|Numb=Sing
legislatioque	legislatio	NOMcom	Case=Nom|Numb=Sing
{legislatioque}	que	CON	MORPH=empty
sanè	sane	ADV	Deg=Pos
quidẽ	quis1	PROint	Numb=Sing|Gend=Neut|Deg=Pos
pertineat	pertineo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
necesse	necesse	ADJqua	Case=Ind|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
quia	quia	CONsub	MORPH=empty
ille	ille	PROdem	Case=Nom|Numb=Sing|Gend=Masc
solus	solus	PROind	Case=Nom|Numb=Sing|Gend=Masc
Ecclesiæ	ecclesia	NOMcom	Case=Gen|Numb=Sing
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
cœtus	coetus	NOMcom	Case=Nom|Numb=Sing
istius	iste	PROdem	Case=Gen|Numb=Sing|Gend=Com
Rex	rex	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
dominus	dominus	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
moderator	moderator	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
legislator	legislator	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
idémque	idem	PROdem	Case=Nom|Numb=Sing|Gend=MascNeut
{idémque}	que	CON	MORPH=empty
solus	solus	PROind	Case=Nom|Numb=Sing|Gend=Masc
conscientiarũ	conscientia	NOMcom	Case=Gen|Numb=Plur|Gend=Fem
nostrarũ	noster	PROpos	Case=Gen|Numb=Plur|Gend=Fem
legitimus	legitimus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc
gubernator	gubernator	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
arbiter	arbiter	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
atque	atque1	CONcoo	MORPH=empty
rector	rector	NOMcom	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
Itaque	itaque	CONcoo	MORPH=empty
solus	solus	PROind	Case=Nom|Numb=Sing|Gend=Masc
ille	ille	PROdem	Case=Nom|Numb=Sing|Gend=Masc
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
leges	lex	NOMcom	Numb=Sing
,	,	PUNC	MORPH=empty
tũ	tu	PROper	Case=Nom|Numb=Sing
legitimæ	legitimus	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
vocationis	uocatio	NOMcom	Case=Gen|Numb=Sing
eorum	is	PROdem	Case=Gen|Numb=Plur|Gend=MascNeut
,	,	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
in	in	PRE	MORPH=empty
sua	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=Fem
domo	domus	NOMcom	Case=Abl|Numb=Sing
præesse	praesum1	VER	Mood=Inf|Tense=Pres|Voice=Act
debent	debeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
præscribere	praescribo	VER	Mood=Inf|Tense=Pres|Voice=Act
:	:	PUNC	MORPH=empty
tum	tum	ADV	Deg=Pos
etiã	etiam	ADV	Case=Acc|Numb=Plur|Deg=Pos
mouendæ	moueo	VER	Case=Gen|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass
hominum	homo	NOMcom	Case=Gen|Numb=Plur
conscientiæ	conscientia	NOMcom	Case=Gen|Numb=Sing
,	,	PUNC	MORPH=empty
ingignendǽque	ingigno	VER	Case=Gen|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass
{ingignendǽque}	que	CON	MORPH=empty
pœnitentiæ	paenitentia	NOMcom	Case=Gen|Numb=Sing
modum	modus	NOMcom	Case=Acc|Numb=Sing
nobis	nos	PROper	Case=Dat|Numb=Plur
demonstrare	demonstro	VER	Mood=Inf|Tense=Pres|Voice=Act
.	.	PUNC	MORPH=empty
In	in	PRE	MORPH=empty
quibus	qui1	PROrel	Case=Abl|Numb=Plur|Gend=Com
duobus	duo	ADJcar	Case=Abl|Numb=Plur|Gend=MascNeut
capitibus	caput	NOMcom	Case=Abl|Numb=Plur
laus	laus	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
vis	uis	NOMcom	Case=Nom|Numb=Sing
summa	summa	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Sup
vniuersæ	uniuersus	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
Ecclesiastice	ecclesiasticus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos
disciplinæ	disciplina	NOMcom	Case=Gen|Numb=Sing
,	,	PUNC	MORPH=empty
quemadmodũ	quemadmodum1	ADVrel	Numb=Sing
diximus	dico2	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
finisque	finis	NOMcom	Case=Nom|Numb=Sing
{finisque}	que	CON	MORPH=empty
positus	pono	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
De	de	PRE	MORPH=empty
quibus	qui1	PROrel	Case=Abl|Numb=Plur|Gend=Com
rebus	res	NOMcom	Case=Abl|Numb=Plur
leges	lex	NOMcom	Case=Acc|Numb=Plur
alias	alius	PROind	Numb=Plur|Gend=Fem
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
ab	ab	PRE	MORPH=empty
ijs	is	PROdem	Case=Abl|Numb=Plur|Gend=Com
,	,	PUNC	MORPH=empty
quas	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Fem
Christus	Christus	NOMpro	Case=Nom|Numb=Sing
præscripsit	praescribo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
diuersas	diuersus	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
ferre	fero	VER	Mood=Inf|Tense=Pres|Voice=Act
neque	neque	CONcoo	MORPH=empty
Reges	rex	NOMcom	Case=Nom|Numb=Plur
vlli	ullus	PROind	Case=Dat|Numb=Sing|Gend=Masc
,	,	PUNC	MORPH=empty
ac	ac1	CONcoo	MORPH=empty
ne	ne3	ADVneg	MORPH=empty
vniuersa	uniuersus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem
quidẽ	quidem	ADV	Numb=Sing|Deg=Pos
ipsa	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Fem
Dei	deus	NOMcom	Case=Gen|Numb=Sing
Ecclesia	ecclesia	NOMcom	Case=Nom|Numb=Sing
(	(	PUNC	MORPH=empty
quę	que	PROrel	Gend=Neut
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in	in	PRE	MORPH=empty
his	hic1	PROdem	Case=Abl|Numb=Plur|Gend=Com
terris	terra	NOMcom	Case=Abl|Numb=Plur
)	)	PUNC	MORPH=empty
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Nã	nam	CONcoo	MORPH=empty
et	et1	ADV	Deg=Pos
ipsa	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Fem
ecclesia	ecclesia	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dũtaxat	dumtaxat	ADV	MORPH=empty
serua	seruus1	NOMcom	Case=Nom|Numb=Sing
Dei	deus	NOMcom	Case=Gen|Numb=Sing
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
nõ	no	ADVneg	Numb=Sing
domina	domina	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
reges	rex	NOMcom	Case=Nom|Numb=Plur
quoque	quoque	ADV	Deg=Pos
ipsi	ipse	PROdem	Case=Nom|Numb=Plur|Gend=Masc
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in	in	PRE	MORPH=empty
hoc	hic1	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
cœtu	coetus	NOMcom	Case=Abl|Numb=Sing
mẽbra	membrum	NOMcom	Case=Acc|Numb=Plur
tãtùm	tantum2	ADV	MORPH=empty
nõ	no	ADVneg	Numb=Sing
caput	caput	NOMcom	Case=Acc|Numb=Sing
:	:	PUNC	MORPH=empty
mẽbra	membrum	NOMcom	Case=Nom|Numb=Sing
quidẽ	quidem	ADV	MORPH=empty
honorabilia	honorabilis	ADJqua	Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos
,	,	PUNC	MORPH=empty
nõ	no	ADVneg	Numb=Sing
tamen	tamen	ADV	Deg=Pos
sic	sic	ADV	Deg=Pos
mẽbra	membrum	NOMcom	Case=Acc|Numb=Plur
,	,	PUNC	MORPH=empty
vt	ut4	CONsub	MORPH=empty
in	in	PRE	MORPH=empty
hoc	hic1	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
cœtu	coetus	NOMcom	Case=Abl|Numb=Sing
regẽ	rex	NOMcom	Case=Abl|Numb=Sing
do	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
imperent	impero	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
pro	pro1	PRE	MORPH=empty
suo	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=MascNeut
arbitratu	arbitratus	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
tãtùm	tantum2	ADV	Numb=Sing
vt	ut4	CONsub	MORPH=empty
Dei	deus	NOMcom	Case=Gen|Numb=Sing
mandata	mandatum	NOMcom	Case=Nom|Numb=Plur
à	ab	PRE	MORPH=empty
pijs	pius	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
et	et2	CONcoo	MORPH=empty
inter	inter	PRE	MORPH=empty
pios	pius	ADJqua	Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
obseruari	obseruo	VER	Mood=Inf|Tense=Pres|Voice=Pass
sedulò	sedulo	ADV	Deg=Pos
curent	curo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Vocationũ	uocatio	NOMcom	Case=Abl|Numb=Sing
enim	enim2	CONcoo	MORPH=empty
ecclesiasticarum	ecclesiasticus	ADJqua	Case=Gen|Numb=Plur|Gend=Fem|Deg=Pos
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
conscientiarum	conscientia	NOMcom	Case=Gen|Numb=Plur
nostrarum	noster	PROpos	Case=Gen|Numb=Plur|Gend=Fem
procul	procul	ADV	Deg=Pos
dubio	dubium	NOMcom	Case=Abl|Numb=Sing
solus	solus	PROind	Case=Nom|Numb=Sing|Gend=Masc
Deus	deus	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
scrutator	scrutator	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
gubernator	gubernator	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
Rex	rex	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
autor	auctor	NOMcom	Case=Nom|Numb=Sing
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
debet	debeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Itaque	itaque	CONcoo	MORPH=empty
cùm	cum3	CONsub	MORPH=empty
hominum	homo	NOMcom	Case=Gen|Numb=Plur
consciẽtias	conscientia	NOMcom	Case=Acc|Numb=Plur
immutare	immuto2	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
inflectere	inflecto	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
ad	ad2	PRE	MORPH=empty
Deũ	deus	NOMcom	Case=Acc|Numb=Sing
adduce	adduco	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
.	.	PUNC	MORPH=empty
re	res	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
huius	hic1	PROdem	Case=Gen|Numb=Sing|Gend=Com
disciplinæ	disciplina	NOMcom	Case=Gen|Numb=Sing
ecclesiasticæ	ecclesiasticus	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
propositũ	propositum	NOMcom	Case=Abl|Numb=Sing
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
finis	finis	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
quomodo	quomodo2	ADVint	MORPH=empty
,	,	PUNC	MORPH=empty
quáue	quis1	PROint	Case=Abl|Numb=Sing|Gend=Fem
{quáue}	ue	CON	MORPH=empty
via	uia	NOMcom	Case=Nom|Numb=Sing
id	is	PROdem	Case=Nom|Numb=Sing|Gend=Neut
fieri	fio	VER	Mood=Inf|Tense=Pres|Voice=Act
rectè	recte	ADV	Deg=Pos
possit	possum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
à	ab	PRE	MORPH=empty
nemine	nemo	PROind	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
præterquàm	praeterquam	ADV	Deg=Pos
ab	ab	PRE	MORPH=empty
vno	unus	ADJcar	Case=Abl|Numb=Sing|Gend=MascNeut
Deo	deus	NOMcom	Case=Abl|Numb=Sing
præscribi	praescribo	VER	Mood=Inf|Tense=Pres|Voice=Pass
,	,	PUNC	MORPH=empty
definiríue	definio	VER	Mood=Inf|Tense=Pres|Voice=Pass
{definiríue}	ue	CON	MORPH=empty
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
quia	quia	CONsub	MORPH=empty
solus	solus	PROind	Case=Nom|Numb=Sing|Gend=Masc
ille	ille	PROdem	Case=Nom|Numb=Sing|Gend=Masc
eas	is	PROdem	Numb=Plur|Gend=Fem
fabricatus	fabricor	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Dep
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
:	:	PUNC	MORPH=empty
solus	solus	PROind	Case=Nom|Numb=Sing|Gend=Masc
quomodo	quomodo2	ADVint	MORPH=empty
eæ	is	PROdem	Case=Nom|Numb=Plur|Gend=Fem
regendæ	rego	VER	Case=Nom|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass
,	,	PUNC	MORPH=empty
flectendæ	flecto	VER	Case=Nom|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass
,	,	PUNC	MORPH=empty
ac	ac1	CONcoo	MORPH=empty
immutandæ	immuto2	VER	Case=Nom|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass
sint	sum1	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
nouit	nosco	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
solus	solus	PROind	Case=Nom|Numb=Sing|Gend=Masc
earũ	is	PROdem	Case=Gen|Numb=Plur|Gend=Fem
dominus	dominus	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Ipsius	ipse	PROdem	Case=Gen|Numb=Sing|Gend=Com
enim	enim2	CONcoo	MORPH=empty
solius	solus	ADJqua	Case=Nom|Numb=Sing
templa	templum	NOMcom	Case=Nom|Numb=Plur
et	et2	CONcoo	MORPH=empty
sedes	sedes	NOMcom	Case=Nom|Numb=Plur
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nostræ	noster	PROpos	Case=Nom|Numb=Sing|Gend=Fem
conscientiæ	conscientia	NOMcom	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
Vnde	unde1	ADVrel	MORPH=empty
velle	uolo3	VER	Mood=Inf|Tense=Pres|Voice=Act
ab	ab	PRE	MORPH=empty
alio	alius	PROind	Case=Abl|Numb=Sing|Gend=MascNeut
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
mortali	mortalis2	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
quidem	quidem	ADV	Deg=Pos
homine	homo	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
leges	lex	NOMcom	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act
inflectendæ	inflecto	VER	Case=Gen|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
conuertendæ	conuerto	VER	Case=Gen|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass
nostræ	noster	PROpos	Case=Gen|Numb=Sing|Gend=Fem
cõscientiæ	conscientia	NOMcom	Case=Gen|Numb=Sing
propter	propter2	PRE	MORPH=empty
Dei	deus	NOMcom	Case=Gen|Numb=Sing
verbum	uerbum	NOMcom	Case=Acc|Numb=Sing
habere	habeo	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hallucinari	alucinor	VER	Mood=Inf|Tense=Pres|Voice=Dep
velle	uolo3	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
operam	opera	NOMcom	Case=Acc|Numb=Sing
perdere	perdo	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
summam	superus	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Sup
iniuriã	iniuria	NOMcom	Case=Nom|Numb=Sing
Deo	deus	NOMcom	Case=Dat|Numb=Sing
(	(	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
sibi	sui1	PROref	Case=Dat|Numb=Sing
vni	unus	ADJcar	Case=Dat|Numb=Sing|Gend=Com
hoc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Neut
totum	totus	PROind	Case=Acc|Numb=Sing|Gend=MascNeut
ius	ius1	NOMcom	Case=Acc|Numb=Sing
reseruauit	reseruo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
)	)	PUNC	MORPH=empty
inferre	infero	VER	Mood=Inf|Tense=Pres|Voice=Act
.	.	PUNC	MORPH=empty
Possunt	possum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
igitur	igitur	CONcoo	MORPH=empty
Reges	rex	NOMcom	Case=Nom|Numb=Plur
,	,	PUNC	MORPH=empty
regúmque	rex	NOMcom	Case=Gen|Numb=Plur
{regúmque}	que	CON	MORPH=empty
consiliarii	consiliarius1	ADJqua	Case=Nom|Numb=Plur|Gend=Masc
,	,	PUNC	MORPH=empty
viri	uir	NOMcom	Case=Nom|Numb=Plur
prudẽtes	prudens	ADJqua	Case=Nom|Numb=Plur
,	,	PUNC	MORPH=empty
leges	lex	NOMcom	Case=Nom|Numb=Plur
de	de	PRE	MORPH=empty
publica	publicus2	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
inter	inter	PRE	MORPH=empty
ipsos	ipse	PROdem	Case=Acc|Numb=Plur|Gend=Masc
ciues	ciuis	NOMcom	Case=Acc|Numb=Plur
pace	pax	NOMcom	Case=Abl|Numb=Sing
tuenda	tueor	VER	Case=Abl|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Dep
dictare	dicto	VER	Mood=Inf|Tense=Pres|Voice=Act
et	et2	CONcoo	MORPH=empty
